layer_number,top,bottom,Mid,sigv,Cn,N,modulus
1,0,5,2.5,0.3,1.636202827,25,818.1014136
2,5,10,7.5,0.9,1.268819461,25,634.4097305
3,10,15,12.5,1.5,1.097995924,25,548.9979619
4,15,20,17.5,2.1,0.985477336,25,492.7386682
5,20,25,22.5,2.7,0.901436095,25,450.7180475
6,25,30,27.5,3.3,0.83433046,42,841.0051033
7,30,35,32.5,3.9,0.778466446,42,784.6941775
8,35,40,37.5,4.5,0.730612558,42,736.4574582
9,40,45,42.5,5.1,0.688757158,42,694.267215
10,45,50,47.5,5.7,0.651562554,42,656.7750549
11,50,55,52.5,6.3,0.61809397,42,623.038722
12,55,60,57.5,6.9,0.587672393,42,592.3737726
13,60,65,62.5,7.5,0.559789021,42,564.2673327
14,65,70,67.5,8.1,0.534052729,42,538.3251506
15,70,75,72.5,8.7,0.510156369,42,514.2376198
16,75,80,77.5,9.3,0.487854323,18,175.6275563
17,80,85,82.5,9.9,0.466947093,18,168.1009537
18,85,90,87.5,10.5,0.447270433,18,161.0173559
19,90,95,92.5,11.1,0.4286875,49,504.1364996
20,95,100,97.5,11.7,0.41108308,49,483.4337018
21,100,105,102.5,12.3,0.394359258,49,463.7664868
22,105,110,107.5,12.9,0.378432116,49,445.0361689
23,110,115,112.5,13.5,0.363229192,49,427.1575293
24,115,120,117.5,14.1,0.348687477,49,410.0564725
25,120,125,122.5,14.7,0.334751846,49,393.6681704
26,125,130,127.5,15.3,0.321373792,49,377.9355789
