layer_number,top,bottom,modulus
1,0,1,14593.75
2,1,2,15843.75
3,2,3,17093.75
4,3,4,18343.75
5,4,5,19593.75
6,5,6,20843.75
7,6,7,22093.75
8,7,8,23343.75
9,8,9,24593.75
10,9,10,25843.75
11,10,11,27093.75
12,11,12,28343.75
13,12,13,29593.75
14,13,14,30843.75
15,14,15,32093.75
16,15,16,51573.93659
17,16,17,52484.72316
18,17,18,53356.58924
19,18,19,54193.28663
20,19,20,54998.02543
21,20,21,55773.57556
22,21,22,56522.34546
23,22,23,57246.44356
24,23,24,57947.72731
25,24,25,58627.84217
26,25,26,59288.25345
27,26,27,59930.2723
28,27,28,60555.077
29,28,29,61163.73063
30,29,30,61757.19624
